image_name,latitude,longitude,altitude,roll,pitch,yaw,accuracy horizontal,accuracy vertical
DSC08798.JPG,49.3934333749000274,8.1872263707187010,205.592,0.033,0.082,-132.759,0.02,0.05
DSC08799.JPG,49.3933899795191493,8.1872245790112306,205.632,0.086,0.065,-133.264,0.02,0.05
DSC08800.JPG,49.3933491399219804,8.1872262225098194,205.645,0.042,0.145,-132.212,0.02,0.05
DSC08801.JPG,49.3933068382712008,8.1872263834606507,205.648,0.030,0.098,-132.588,0.02,0.05
DSC08802.JPG,49.3932657751997510,8.1872272177192489,205.673,0.089,-0.018,-133.000,0.02,0.05
DSC08803.JPG,49.3932248236563325,8.1872272912744943,205.686,0.084,0.012,-132.722,0.02,0.05
DSC08804.JPG,49.3931806897379957,8.1872274399208109,205.645,0.067,0.095,-132.721,0.02,0.05
DSC08805.JPG,49.3931409812492603,8.1872270227901751,205.620,0.088,0.033,-132.165,0.02,0.05
DSC08806.JPG,49.3930998370104959,8.1872262565655731,205.616,0.032,0.090,-132.754,0.02,0.05
DSC08807.JPG,49.3930579923726540,8.1872261621704734,205.639,0.108,0.102,-133.127,0.02,0.05
DSC08808.JPG,49.3930174705423681,8.1872273769872645,205.623,0.048,0.034,-132.518,0.02,0.05
DSC08809.JPG,49.3929751483130062,8.1872270425402363,205.627,0.064,0.071,-132.656,0.02,0.05
DSC08810.JPG,49.3929333624524602,8.1872261357182694,205.635,0.026,0.100,-132.752,0.02,0.05
DSC08811.JPG,49.3928920155520501,8.1872252197342590,205.634,0.056,0.027,-133.035,0.02,0.05
DSC08812.JPG,49.3928490613708675,8.1872255016712820,205.658,0.030,0.044,-132.903,0.02,0.05
DSC08813.JPG,49.3928084881144542,8.1872257829137052,205.654,0.081,0.044,-132.596,0.02,0.05
DSC08814.JPG,49.3927662784649897,8.1872262560958546,205.620,0.090,0.086,-132.791,0.02,0.05
DSC08815.JPG,49.3927253522362406,8.1872271683635098,205.628,0.030,0.088,-132.578,0.02,0.05
DSC08816.JPG,49.3926849392883014,8.1872262463112619,205.625,0.089,0.083,-133.062,0.02,0.05
DSC08817.JPG,49.3926430095652336,8.1872255436204853,205.637,0.039,0.100,-132.953,0.02,0.05
DSC08818.JPG,49.3925989055427053,8.1872255696477847,205.621,0.094,0.120,-132.740,0.02,0.05
DSC08819.JPG,49.3925587436268287,8.1872271385535491,205.631,0.081,0.078,-132.692,0.02,0.05
DSC08820.JPG,49.3925154009507565,8.1872275240834238,205.643,0.076,0.064,-132.514,0.02,0.05
DSC08821.JPG,49.3924740996598715,8.1872275680161053,205.644,0.084,0.018,-132.767,0.02,0.05
DSC08822.JPG,49.3924334356063213,8.1872274012084922,205.650,0.077,0.052,-132.787,0.02,0.05
DSC08823.JPG,49.3923924448872356,8.1872270054688823,205.635,0.056,0.039,-132.631,0.02,0.05
DSC08824.JPG,49.3923505158961689,8.1872271450701213,205.632,0.048,0.009,-132.745,0.02,0.05
DSC08825.JPG,49.3923079214631997,8.1872265980044006,205.615,0.045,0.090,-132.832,0.02,0.05
DSC08826.JPG,49.3922676859283740,8.1872265123061485,205.631,0.053,0.084,-132.650,0.02,0.05
DSC08827.JPG,49.3922253167766883,8.1872263599897952,205.634,0.031,0.112,-132.758,0.02,0.05
DSC08828.JPG,49.3921835222492476,8.1872261120327785,205.628,0.057,0.047,-132.713,0.02,0.05
DSC08829.JPG,49.3921416740658756,8.1872263062506310,205.630,0.070,0.050,-132.737,0.02,0.05
DSC08830.JPG,49.3921020536869406,8.1872267333110180,205.642,0.060,0.080,-132.747,0.02,0.05
DSC08831.JPG,49.3920591387180892,8.1872267897882178,205.644,0.033,0.130,-132.726,0.02,0.05
DSC08832.JPG,49.3920182597336321,8.1872266061628380,205.659,0.078,0.036,-132.767,0.02,0.05
DSC08833.JPG,49.3919763784984767,8.1872261190002718,205.642,0.034,0.029,-132.821,0.02,0.05
DSC08834.JPG,49.3919691495534678,8.1872260719205467,205.640,0.057,0.054,-132.803,0.02,0.05
DSC08835.JPG,49.3919339840037850,8.1872265901745926,205.632,0.037,0.019,-132.794,0.02,0.05
DSC08836.JPG,49.3918938093590754,8.1872264395312992,205.639,0.043,0.061,-132.866,0.02,0.05
